# timestep  xRg^2        yRg^2           zRg^2           Rg^2          xRe^2         yRe^2         zRe^2          Re^2          xL^2           yL^2          zL^2           L^2
  19800000   4.0787478375  34.5514398311   6.2444588579  44.8746465265   2.2260640000 139.3178908900   1.4471296031 142.9910844931   0.3646132149   0.3633651718   0.3318017502   1.0597801369
  19900000   5.8228967323  47.6030807940  18.1808225486  71.6068000749   0.1558670400 572.9560322500 250.6126455625 823.7245448525   0.3428461545   0.3152285852   0.3883253020   1.0464000417
  20000000   4.1655986203   8.6239727806  22.0441527348  34.8337241358  19.8719808400  21.4100544100 242.7304796361 284.0125148861   0.2891335515   0.3166517710   0.4031165322   1.0089018547
  20100000  85.8859921483   7.5798400100  32.8769602062 126.3427923645 371.6220062500  56.8485840400 191.2326671161 619.7032574061   0.3813988019   0.3022177840   0.3334923896   1.0171089756
  20200000  10.8248629351 109.4937216287  20.8732344335 141.1918189972 104.7654602500 1072.4511528900 144.2119979689 1321.4286111089   0.3538804728   0.3966292348   0.3188520457   1.0693617534
  20300000  29.4646536349  14.6517458019   6.7690095417  50.8854089785 135.2057328400  28.1600035600   0.8393674689 164.2051038689   0.3239716467   0.3402647198   0.3487109571   1.0129473236
  20400000   5.0936467977  51.3148926456   3.6386257059  60.0471651491   0.6181104400 618.4373185600   5.1230248281 624.1784538281   0.3523028616   0.3747560261   0.2915835151   1.0186424028
  20500000   6.1425352738  44.7328419291   3.4385922711  54.3139694741   0.0841000000 385.9495993600  40.0051190016 426.0388183616   0.3456561816   0.3465140648   0.3172541523   1.0094243988
  20600000  19.2251787171  82.0321697011   3.9116734370 105.1690218553 449.2280250000 661.9351296100  23.6701710400 1134.8333256500   0.3234097168   0.3846071395   0.3095187397   1.0175355960
  20700000  26.0516512073  41.1088641697  15.7541268692  82.9146422461 240.4019240100 411.1121208100 165.6178529476 817.1318977676   0.3526581167   0.3060265060   0.3684615443   1.0271461669
  20800000  13.3748329485  22.7301230565  54.8729260558  90.9778820607  90.4439040400 137.5436384100 498.6284534001 726.6159958501   0.3794913919   0.3048276613   0.3455490876   1.0298681409
  20900000  14.4455544186  28.7621104531  12.5175559821  55.7252208537 151.2432636100  76.3334216100  44.2842335296 271.8609187496   0.3013557722   0.3939920203   0.3290551891   1.0244029816
  21000000  29.9728681721   5.1259138172  13.5156633186  48.6144453079  79.1263620900  39.8350322500  94.1154157161 213.0768100561   0.3713073641   0.3941699492   0.2816020569   1.0470793703
  21100000  17.0417529046  11.6735487694  20.3137364593  49.0290381333  70.4944952100  20.7562248100 127.4595840400 218.7103040600   0.3492219898   0.3578838106   0.3522418551   1.0593476555
  21200000   9.6965498004  12.0440757583  14.4967328841  36.2373584428   2.9694182400  48.8866656100 274.8042229284 326.6603067784   0.3272178162   0.3335942072   0.3771877679   1.0379997913
  21300000  51.3158002956   4.6743113821   3.0346784026  59.0247900803 197.7595312900   0.2609166400   0.2117067335 198.2321546635   0.3237967516   0.3330413937   0.3387779140   0.9956160593
  21400000  14.6562771967  24.2174663651   4.5978939965  43.4716375584  51.0324496900  81.4434051600  23.9661160704 156.4419709204   0.3527693122   0.4073422018   0.2681714930   1.0282830070
  21500000  64.0666274729  18.1060326263   1.9711825650  84.1438426642 587.5145776900  29.7799404100   1.0938231396 618.3883412396   0.3087065276   0.3392643391   0.3718622530   1.0198331197
  21600000   8.6834830361  12.7226184081  16.7651912068  38.1712926511  14.3777472400  40.7350297600 217.6669720387 272.7797490387   0.3268731952   0.3760976739   0.3379284641   1.0408993332
  21700000  25.6808540224  20.7680930873   1.0393532017  47.4883003114  49.6587996100 148.2817644100  11.9089868836 209.8495509036   0.3312127587   0.3728697787   0.3190032923   1.0230858297
  21800000   4.7570220976  92.2364900766   2.7157794407  99.7092916149   4.2468966400 622.1432718400   9.8022217225 636.1923902025   0.3398677913   0.3667690307   0.3187059833   1.0253428053
  21900000   4.4338990675  15.3458956322  10.5343582140  30.3141529136  15.9240902500  69.9196992400   0.0650443814  85.9088338714   0.3986479605   0.3253532198   0.3151008029   1.0391019832
  22000000  99.3201572907   9.5607260091   8.9916653277 117.8725486274 995.1501160000   7.0617747600  11.3066080009 1013.5184987609   0.3594951863   0.3643808313   0.2977003419   1.0215763595
  22100000  12.1879164271  61.1764354620   4.2681203414  77.6324722305   4.4842297600 692.3634438400  15.0805858571 711.9282594571   0.3180574364   0.3626215277   0.3611012815   1.0417802456
  22200000  15.9084517181  23.7692438876   1.3824345276  41.0601301333  77.0111553600 218.0790562500   5.7592800225 300.8494916325   0.3175567032   0.3927614031   0.3080942799   1.0184123862
  22300000  51.6494307897  11.6965614266   9.8183141646  73.1643063808 682.7350926400   7.3154020900   1.0474294336 691.0979241636   0.3312063008   0.3047894403   0.3912450095   1.0272407506
  22400000  11.2741057245  21.9134327602   2.2567635343  35.4443020190  29.4273700900  18.3620820100   4.4583055609  52.2477576609   0.3417947670   0.3630234322   0.3254589888   1.0302771880
  22500000  13.2541943553  19.2736669369  21.0854613699  53.6133226621 112.0168224400 102.6776890000  31.5383328100 246.2328442500   0.2952472582   0.3168895992   0.3933177786   1.0054546360
  22600000   9.6046724048  53.0160348490  12.1850851170  74.8057923708  31.8536072100 470.7424515600  18.1989266404 520.7949854104   0.3865128375   0.3159105067   0.3198091021   1.0222324462
  22700000  51.4860587011  48.5319948104   4.4001433650 104.4181968765 260.7094622500 607.1000323600  42.2953821801 910.1048767901   0.3253297078   0.3577306475   0.3295129162   1.0125732715
  22800000   2.9747470301  41.7931388140   2.1359836819  46.9038695259  23.6059939600 255.5394073600   0.1364711364 279.2818724564   0.3629091802   0.3402688844   0.3186631787   1.0218412434
  22900000   2.3765705367  36.0155171446  23.7110649771  62.1031526583   4.5105264400 221.4054720900 171.6564557435 397.5724542735   0.3615218576   0.3646913745   0.3134466387   1.0396598708
  23000000  22.3795583805  22.6121375713   7.5782838082  52.5699797599  63.5480008900 491.4778624900  17.6749613056 572.7008246856   0.3581301767   0.3145892605   0.3633963808   1.0361158180
  23100000   2.2684329032  57.6566014174  24.8375839907  84.7626183113   0.4714195600 456.5615092900 172.1590664836 629.1919953336   0.3178683267   0.3916883114   0.3416516514   1.0512082895
  23200000  53.7701607384  32.9874483412   1.9033742921  88.6609833716 241.0069953600 452.0726440000  14.4929444416 707.5725838016   0.3426590558   0.3435249782   0.3510191010   1.0372031349
  23300000  47.5670495490   6.4328474989   1.9348338878  55.9347309357 433.0186428100  82.1434068900   8.7539056900 523.9159553900   0.4097030029   0.3342576258   0.2759227314   1.0198833601
  23400000  34.2103384259  22.0200738247   8.3146154926  64.5450277431 134.2400304400   5.7475267600   1.8777494961 141.8653066961   0.3112777770   0.3497120693   0.3629531235   1.0239429697
  23500000  30.2302282281  18.2110701495   5.3413623763  53.7826607539  23.6147402500 235.2358387600   1.0106481961 259.8612272061   0.3130775416   0.3505930661   0.3585567125   1.0222273201
  23600000  12.7277462923  63.8124329953   2.5996656985  79.1398449861  22.0214332900 474.3771120400   0.0072539289 496.4057992589   0.3602444076   0.3857664788   0.2765051860   1.0225160723
  23700000  19.0111542265  37.5956775705   9.3480652802  65.9548970773  43.1254890000  71.9629856100   4.2116069284 119.3000815384   0.3350904735   0.3900322276   0.3009833263   1.0261060274
  23800000  24.2462033719  27.1788138160   8.0506719806  59.4756891685 177.3877696900  70.3568664100  15.1903503504 262.9349864504   0.3621108312   0.3622828211   0.3123717325   1.0367653848
  23900000  19.1465549831  23.9973675407  16.8172865366  59.9612090603 117.2304252900 205.9110201600   1.5249533121 324.6663987621   0.3413776122   0.3300294299   0.3575247902   1.0289318324
  24000000   6.4268340068  48.6590327530  13.1843883390  68.2702550988  66.6824127649 413.4105562500  26.6055829636 506.6985519785   0.3129278763   0.3493343775   0.3537629527   1.0160252064
  24100000   3.5543093661  64.6604265819   4.7709619046  72.9856978527  55.8158410000 447.3013502500  49.6583767969 552.7755680469   0.3802388634   0.3954284652   0.2741560583   1.0498233869
  24200000  11.3205021169 119.9618306745  10.1331299583 141.4154627497  25.5813408400 1573.9151907600 124.2629661289 1723.7594977289   0.3424729025   0.4320586796   0.2823300190   1.0568616010
  24300000   6.8425526734  86.0907572553   8.1875565597 101.1208664884  15.0490460761 989.1025000000  27.5462274025 1031.6977734786   0.3439422404   0.3697806190   0.3212941050   1.0350169644
  24400000   3.5001556758  78.7827181661  23.6223113760 105.9051852179  37.3296560400 650.0613136900 140.8396924081 828.2306621381   0.3502478638   0.3817796892   0.3264499032   1.0584774563
  24500000   3.1739476858  22.1793362054  11.7433621744  37.0966460656   4.7939102500   7.5867193600  56.4001000000  68.7807296100   0.2969122781   0.3841318097   0.3438938410   1.0249379288
  24600000  58.5065018501   5.4276899890   4.1645634949  68.0987553340 509.4730636801   5.8023174400  17.5872035641 532.8625846842   0.3615073143   0.3347122168   0.3160759301   1.0122954612
  24700000   8.3638422106  17.0686670495  11.5538377645  36.9863470246   0.7855276900  92.3405683600  76.6430211600 169.7691172100   0.3562484450   0.3490970507   0.3210952408   1.0264407365
  24800000  25.8505064076  26.3800882372   1.1867639315  53.4173585764  99.8040960400  20.4964452900  12.3839240464 132.6844653764   0.3338106862   0.3923933914   0.2978010741   1.0240051517
  24900000  62.5987415928  14.0794375196   8.9559383382  85.6341174506 485.1667022500  64.6399920100  14.7218783481 564.5285726081   0.3032214761   0.3733800395   0.3629802202   1.0395817358
  25000000  10.7570418175  51.6900003963   9.8359697198  72.2830119337  10.4963040400 364.2563102500  20.7698036121 395.5224179021   0.4111909848   0.3572587787   0.2822209667   1.0506707302
  25100000   6.7380654969  53.5258475709   3.0147516598  63.2786647275  20.7808339600 438.7809984100  37.2491478913 496.8109802613   0.3684000867   0.3226743605   0.3271974892   1.0182719364
  25200000  24.9791479284  50.9973009527   6.8769348829  82.8533837639 184.3132064400 461.8759756900  52.1119396996 698.3011218296   0.3907013729   0.3395362771   0.3210513536   1.0512890036
  25300000  21.3378455558  21.2633605534   6.4977127721  49.0989188812  51.3674657521  61.9227348100   7.0478568484 120.3380574105   0.4190141766   0.2997357270   0.3182843194   1.0370342230
  25400000  44.5003305282  35.3551617114   2.2405318171  82.0960240566 385.9771036900 184.1720410000   0.0108264025 570.1599710925   0.3566039995   0.3719846424   0.3262329118   1.0548215536
  25500000  48.1842188361  13.3841633991   1.3935804055  62.9619626406 230.0742912400   8.3636640000   4.1389868025 242.5769420425   0.4202640629   0.3359357826   0.2751754105   1.0313752560
  25600000  24.6761221674  16.1137280803   8.3858904207  49.1757406685 139.4761000000  40.9868844100   3.4516437796 183.9146281896   0.3270252639   0.3740078383   0.3243757033   1.0254088055
  25700000  22.6879735669  11.2524301779   7.4613619266  41.4017656714   8.6594832900  36.7296602500  75.5489865397 120.9381300797   0.4212713478   0.3173524779   0.2903979409   1.0290217666
  25800000  14.5443105005   4.8054900259  14.5890173354  33.9388178618 199.0607770321  41.5045177600  90.1783842129 330.7436790050   0.3383911915   0.3734188343   0.2991462729   1.0109562988
  25900000  23.3722724531  12.8508014090  24.6748442307  60.8979180927 123.2810502400   1.6604899600 347.5769228622 472.5184630622   0.3413264352   0.3330623164   0.3315123900   1.0059011415
  26000000   6.3147978361   2.7136311468  39.8240874932  48.8525164761  12.5634802500   0.0316484100 455.1634503936 467.7585790536   0.3185283001   0.3602235346   0.3514126281   1.0301644629
  26100000   9.9669207776  24.2270421738   5.8241876689  40.0181506202   0.8832240400  65.1265140100   0.0947346841  66.1044727341   0.3719155354   0.3814197991   0.2759861356   1.0293214701
  26200000 147.1738564468   2.2659986110   1.1802919761 150.6201470339 928.8231475600  27.4282638400   0.0447407104 956.2961521104   0.3700662349   0.3513044836   0.2934948514   1.0148655700
  26300000  63.0290775916  42.4667760145   9.0653223712 114.5611759774 549.5789376100 290.5490702500  89.9403760161 930.0683838761   0.3091189254   0.3945086815   0.3161604435   1.0197880503
