ID TYPE x y z ix iy iz 
1673 2 1.75241 -1.29236 24.0246 -11 -20 0
1674 2 2.1131 -1.46056 23.1225 -11 -20 0
1675 2 2.0709 -2.13363 22.435 -11 -20 0
1676 2 1.64532 -2.3876 21.6277 -11 -20 0
1677 2 1.23276 -3.24009 21.7894 -11 -20 0
1678 2 1.3434 -4.18398 21.6871 -11 -20 0
1679 2 0.694435 -4.78711 21.3884 -11 -20 0
1680 2 0.0827913 -4.16876 20.9789 -11 -20 0
1661 2 -0.87249 -5.66617 20.9768 -9 -22 0
1662 2 -0.0836885 -6.23542 21.2258 -9 -22 0
1663 2 -0.143654 -6.80612 20.393 -9 -22 0
1664 2 0.346964 -7.51334 20.027 -9 -22 0
1665 2 -0.312532 -7.87192 19.4509 -9 -22 0
1666 2 0.540756 -8.14667 19.1745 -9 -22 0
1667 2 1.03659 -9.01629 19.2977 -9 -22 0
1668 2 0.927283 -9.87665 19.7602 -9 -22 0
1669 2 0.571551 -9.88599 20.6434 -9 -22 0
1670 2 0.434136 -10.6965 21.1243 -9 -22 0
1671 2 1.24241 -11.2122 21.1782 -9 -22 0
1672 2 1.35833 -12.1644 21.1782 -9 -22 0
1673 2 1.34816 -12.0029 20.222 -9 -22 0
1674 2 2.16016 -12.4871 20.4855 -9 -22 0
1675 2 2.08857 -13.1803 19.7744 -9 -22 0
1676 2 1.19311 -13.5393 19.8042 -9 -22 0
1677 2 1.37695 -13.9394 20.699 -9 -22 0
1678 2 1.38628 -14.8666 20.4459 -9 -22 0
1679 2 1.07023 14.9063 19.4861 -9 -23 0
1680 2 1.75223 -14.7793 18.9276 -9 -22 0
1661 2 4.30428 10.1519 7.84441 -5 -22 0
1662 2 3.35697 10.0777 7.97276 -5 -22 0
1663 2 3.33338 9.49261 8.68448 -5 -22 0
1664 2 3.72245 10.3504 8.95364 -5 -22 0
1665 2 4.60621 10.4244 9.29583 -5 -22 0
1666 2 5.32025 11.0791 9.33887 -5 -22 0
1667 2 5.33264 12.0265 9.00173 -5 -22 0
1668 2 5.32265 12.3908 9.88659 -5 -22 0
1669 2 4.63794 13.0441 10.2156 -5 -22 0
1670 2 3.8885 13.493 10.6853 -5 -22 0
1671 2 3.57175 13.9288 9.91887 -5 -22 0
1672 2 3.83505 14.7533 10.3425 -5 -22 0
1673 2 3.88154 -14.3256 10.6291 -5 -21 0
1674 2 4.04685 -13.8471 9.86213 -5 -21 0
1675 2 4.90643 -13.4449 9.83274 -5 -21 0
1676 2 5.61079 -12.7814 9.89278 -5 -21 0
1677 2 6.40861 -12.3282 10.0363 -5 -21 0
1678 2 6.13885 -11.8281 10.7536 -5 -21 0
1679 2 5.8379 -12.2535 11.5595 -5 -21 0
1680 2 5.47471 -13.1807 11.4749 -5 -21 0
1661 2 -13.2838 -9.53892 24.4372 -3 -22 0
1662 2 -12.8408 -9.97968 25.172 -3 -22 0
1663 2 -11.913 -10.1563 25.1359 -3 -22 0
1664 2 -12.0231 -10.7961 25.9481 -3 -22 0
1665 2 -12.2469 -11.2985 26.6875 -3 -22 0
1666 2 -11.6818 -12.0503 26.7558 -3 -22 0
1667 2 -11.7763 -12.0498 25.7594 -3 -22 0
1668 2 -11.066 -11.7066 25.2624 -3 -22 0
1669 2 -10.8596 -10.998 25.8822 -3 -22 0
1670 2 -10.6487 -10.2739 25.2955 -3 -22 0
1671 2 -10.6568 -9.83266 26.1471 -3 -22 0
1672 2 -9.72863 -9.82011 25.8245 -3 -22 0
1673 2 -9.08391 -9.1513 26.2159 -3 -22 0
1674 2 -9.53452 -8.39303 26.5301 -3 -22 0
1675 2 -9.95308 -8.05016 25.7615 -3 -22 0
1676 2 -10.2056 -7.31981 26.3953 -3 -22 0
1677 2 -11.069 -7.17136 26.8181 -3 -22 0
1678 2 -10.8969 -6.81444 27.695 -3 -22 0
1679 2 -11.3869 -7.23965 28.4413 -3 -22 0
1680 2 -11.2139 -7.97014 27.899 -3 -22 0
1661 2 -0.905712 1.36572 -7.10048 -3 -23 0
1662 2 -0.836208 0.389832 -7.15643 -3 -23 0
1663 2 -1.07375 -0.429287 -6.76111 -3 -23 0
1664 2 -1.04863 -0.910432 -5.90497 -3 -23 0
1665 2 -0.174474 -1.30963 -5.73501 -3 -23 0
1666 2 0.651102 -1.73694 -6.04402 -3 -23 0
1667 2 0.970109 -1.76771 -6.9617 -3 -23 0
1668 2 0.837558 -0.813762 -7.12066 -3 -23 0
1669 2 1.05879 0.0388994 -6.70911 -3 -23 0
1670 2 1.55992 0.104152 -7.50744 -3 -23 0
1671 2 2.08644 0.266228 -8.33156 -3 -23 0
1672 2 1.80678 0.420521 -9.2455 -3 -23 0
1673 2 1.06561 -0.123409 -9.04845 -3 -23 0
1674 2 0.70822 -1.02456 -8.8474 -3 -23 0
1675 2 1.13677 -1.88124 -9.07139 -3 -23 0
1676 2 1.38784 -1.24121 -9.75107 -3 -23 0
1677 2 1.52132 -1.14843 -10.7005 -3 -23 0
1678 2 0.984046 -1.4345 -11.4177 -3 -23 0
1679 2 0.0466306 -1.66916 -11.4159 -3 -23 0
1680 2 -0.815216 -1.62995 -10.8288 -3 -23 0
1661 2 -1.38111 -0.640301 -17.1298 -1 -22 0
1662 2 -0.597246 -0.643754 -17.8217 -1 -22 0
1663 2 0.123404 -0.794799 -18.3997 -1 -22 0
1664 2 1.03091 -0.805716 -18.0705 -1 -22 0
1665 2 1.69594 -0.160681 -17.7576 -1 -22 0
1666 2 1.65563 -0.0736599 -16.8226 -1 -22 0
1667 2 1.39702 -0.799196 -16.315 -1 -22 0
1668 2 0.720945 -1.13852 -15.6908 -1 -22 0
1669 2 0.0121584 -1.27295 -16.2505 -1 -22 0
1670 2 0.340294 -0.399689 -16.506 -1 -22 0
1671 2 -0.102911 0.145268 -15.8317 -1 -22 0
1672 2 0.823474 0.191057 -15.6103 -1 -22 0
1673 2 0.364301 -0.418111 -14.9962 -1 -22 0
1674 2 -0.55818 -0.59802 -15.202 -1 -22 0
1675 2 -1.34822 0.00679238 -15.0854 -1 -22 0
1676 2 -1.528 0.314998 -14.114 -1 -22 0
1677 2 -1.78081 -0.660791 -14.0781 -1 -22 0
1678 2 -0.836345 -0.528716 -14.1326 -1 -22 0
1679 2 -0.326557 0.257492 -13.9006 -1 -22 0
1680 2 -0.149437 1.17998 -13.5081 -1 -22 0
1661 2 -14.1777 12.8335 16.743 1 -25 0
1662 2 -14.1007 13.6546 16.2543 1 -25 0
1663 2 -13.7324 13.8943 15.3822 1 -25 0
1664 2 -14.4039 14.3524 14.9723 1 -25 0
1665 2 -14.5213 14.2498 13.9442 1 -25 0
1666 2 -14.6183 -14.848 13.6684 1 -24 0
1667 2 -14.4545 -13.9714 13.9509 1 -24 0
1668 2 -14.7246 -13.5468 13.0539 1 -24 0
