# timestep  xRg^2        yRg^2           zRg^2           Rg,xy^2          xRe^2         yRe^2         zRe^2          Re^2          xL^2           yL^2          zL^2           L^2
  107800000   9.0554563005  20.7422817526   0.0000000000  29.7977380530  22.7934630625 217.4504144400   0.0000114921 240.2438889946   0.3187097189   0.3730057782   0.3299413078   1.0216568049
  107900000  16.0269321416  12.2735098276   0.0000000000  28.3004419692 233.1585464209  79.5931622500   3.1543891236 315.9060977945   0.3868007390   0.3557860678   0.3095190401   1.0521058468
  108000000  58.8259194159  14.7303256641   0.0000000000  73.5562450800 607.3804611081  86.2873788100   5.3193887044 698.9872286225   0.3357659823   0.3647020542   0.3211183199   1.0215863564
  108100000  57.8476804984  10.6204078319   0.0000000000  68.4680883303 311.8974987844  78.4871964900 209.5597294877 599.9444247621   0.3876336811   0.3107777298   0.3243082392   1.0227196501
  108200000  11.4534928335  16.7055893296   0.0000000000  28.1590821631 135.7616468224  26.3815776900  23.0782238404 185.2214483528   0.3565343773   0.3409690417   0.3472937969   1.0447972160
  108300000  37.4625169334  11.4994320496   0.0000000000  48.9619489830 309.0803092624   7.6984051600  19.1714373904 335.9501518128   0.3896230019   0.3547488723   0.3034172580   1.0477891322
  108400000  38.2742236913   9.6054064355   0.0000000000  47.8796301267 138.0704901156  23.5729670400   0.0622851849 161.7057423405   0.3776343578   0.3127325709   0.3550965804   1.0454635091
  108500000  14.1450858620   5.9421061737   0.0000000000  20.0871920356  39.0506259025   0.3103604100 321.9228996841 361.2838859966   0.3444928139   0.3790318546   0.3283142720   1.0518389406
  108600000  81.6767796399  10.3361108714   0.0000000000  92.0128905113 654.8532180100 108.0539460100 171.1820804936 934.0892445136   0.3072116279   0.3620332324   0.3513096831   1.0205545434
  108700000  29.5657400487  43.5619283924   0.0000000000  73.1276684412 230.4476106110 340.6054802500  14.7380745604 585.7911654214   0.3039232778   0.3924530189   0.3138812047   1.0102575014
  108800000  11.9976548732  24.8701859603   0.0000000000  36.8678408335  45.9781230341 267.7183164100  22.5657301156 336.2621695597   0.3460429375   0.3202199435   0.3471991232   1.0134620042
  108900000  10.8278712681  18.6488823964   0.0000000000  29.4767536645  57.5046189124  48.3164010000   1.0278309924 106.8488509048   0.3542793100   0.3546536432   0.3050891935   1.0140221467
  109000000  14.0001887657  36.6781532631   0.0000000000  50.6783420288   0.0638572900 149.3308440100   0.2173331161 149.6120344161   0.3201495381   0.3948120587   0.3134536061   1.0284152029
  109100000  13.5748584981  18.0695448775   0.0000000000  31.6444033756  18.3955210000 190.9619972100  29.4721951689 238.8297133789   0.3455436941   0.2796704457   0.3930270343   1.0182411740
  109200000  27.4878513605  61.5419423421   0.0000000000  89.0297937026 384.0714405444 403.2264802500   0.0244296900 787.3223504844   0.3713569048   0.3601048178   0.2960342054   1.0274959281
  109300000  63.3697290721  46.7275817392   0.0000000000 110.0973108113 741.5104778761 390.9636198400   0.0155194289 1132.4896171450   0.3982466823   0.3257933232   0.2950503198   1.0190903253
  109400000  10.4857820283  32.9558559445   0.0000000000  43.4416379728  29.7609527296 388.7324856900  20.6653886464 439.1588270660   0.3016427915   0.3439637403   0.3861835006   1.0317900323
  109500000  72.7044451442  27.7819253827   0.0000000000 100.4863705269 449.8513740900 175.9787964900  44.2240960144 670.0542665944   0.3220965119   0.3698780985   0.3453846478   1.0373592582
