# Time-averaged data for fix at1
# TimeStep c_cm[3] c_pfall
105680000 24.0682 0.0171996
105690000 26.5084 0.112669
105700000 24.9958 0.0216417
105710000 23.9981 0
105720000 20.2597 0
105730000 20.6931 0
105740000 18.6147 0
105750000 7.11021 -0.000851122
105760000 4.21403 -0.464569
105770000 5.9766 -0.0320156
105780000 11.2791 -0.00082155
105790000 11.7239 0
105800000 7.86515 -0.000952127
105810000 7.2158 -0.0149655
105820000 6.58771 -0.00821524
105830000 17.5619 0
105840000 15.1076 0
105850000 21.8406 0.00926343
105860000 25.267 0.0279241
105870000 27.0901 0.100347
105880000 25.5037 0.017793
105890000 14.1139 0
105900000 13.4335 0
105910000 16.686 0
105920000 14.454 0
105930000 13.3502 0
105940000 14.5783 0
105950000 23.7459 0.00661592
105960000 24.4009 0.0632016
105970000 24.546 0.0226026
105980000 24.3579 0.0442954
105990000 25.4043 0.0648
106000000 23.6252 0.0405544
106010000 23.2515 0
106020000 16.6673 0
106030000 10.9427 0
106040000 4.79053 -0.287094
106050000 7.78108 -0.0258819
106060000 4.69215 -0.275718
106070000 -1.70735 -2.43591
106080000 -4.15509 -2.45952
106090000 -0.459631 -1.76485
106100000 0.411185 -1.75418
106110000 0.867962 -1.68383
106120000 0.801336 -1.5827
106130000 1.19122 -1.52114
106140000 6.03759 -0.158515
106150000 7.32167 -0.0187397
106160000 9.98493 0
106170000 17.5911 0
106180000 22.2496 0
106190000 15.2143 0
106200000 6.32167 -0.0560899
106210000 8.16834 -0.006749
106220000 9.94664 0
106230000 8.60307 -0.00211569
106240000 6.50965 -0.0552188
106250000 3.35956 -1.26765
106260000 5.40894 -0.0802185
106270000 5.98517 -0.248015
106280000 11.398 0
106290000 12.7817 0
106300000 13.5773 0
106310000 12.362 0
106320000 6.71844 -0.256397
106330000 13.1677 0
106340000 17.1694 0
106350000 11.2817 0
106360000 3.99736 -0.426462
106370000 3.18602 -1.11201
106380000 3.2565 -0.776004
106390000 4.92457 -0.255311
106400000 9.10844 -0.0185609
106410000 13.5469 0
106420000 13.0687 0
106430000 14.1924 0
106440000 7.21262 -0.0169429
106450000 14.1228 0
106460000 20.972 0
106470000 10.1321 0
106480000 5.28926 -0.505559
106490000 2.83333 -1.26177
106500000 9.76687 0
106510000 14.7062 0
106520000 18.1315 0
106530000 14.0657 0
106540000 7.41204 -0.00389247
106550000 6.39768 -0.0097647
106560000 9.75033 -0.0282124
106570000 10.4874 0
106580000 17.8564 0
106590000 10.8981 0
106600000 5.75695 -0.00165041
106610000 6.54463 -0.247787
106620000 4.08546 -0.43058
106630000 6.40067 -0.0226307
106640000 10.7838 0
106650000 11.729 0
106660000 9.75431 -0.0142522
106670000 5.68219 -0.112183
106680000 11.84 0
106690000 10.7394 -0.000270167
106700000 3.55772 -0.534299
106710000 2.62418 -1.27291
106720000 0.598646 -1.80714
106730000 -5.24832 -2.32994
106740000 -9.60085 -2.05846
106750000 -19.1917 -2.15245
106760000 -19.4851 -2.11831
106770000 -18.0989 -2.34888
106780000 -14.1077 -2.28854
106790000 -10.1596 -2.4334
106800000 -6.65992 -2.80004
106810000 -9.9817 -2.21997
106820000 -14.2362 -2.52014
106830000 -8.86479 -2.33596
106840000 -14.5138 -2.07744
106850000 -14.7075 -1.77705
106860000 -10.4845 -2.45275
106870000 -14.8923 -2.50159
106880000 -18.9835 -2.40961
106890000 -15.1609 -2.53243
106900000 -8.91741 -2.41244
106910000 -13.6068 -2.00383
106920000 -15.4784 -2.23768
106930000 -14.3052 -2.27406
106940000 -14.6484 -2.12023
106950000 -11.482 -2.26057
106960000 -15.5771 -2.1625
106970000 -16.6081 -2.2166
106980000 -14.8596 -2.28103
106990000 -10.3101 -2.09593
107000000 -9.52143 -2.14156
107010000 -10.3663 -2.15656
107020000 -17.5102 -2.5043
107030000 -8.22708 -2.48158
107040000 -14.629 -1.99751
107050000 -15.9719 -2.25018
107060000 -13.7145 -2.37794
107070000 -11.1151 -2.18865
107080000 0.0171158 -1.92831
107090000 11.0263 -0.0304204
107100000 18.2317 0
107110000 19.3048 0.0269181
107120000 26.0043 0.0227168
107130000 24.5735 0.00727455
107140000 22.1582 0
107150000 24.9092 0.0337669
107160000 26.1725 0.0105524
107170000 25.6214 0.0509544
107180000 22.888 0
107190000 24.6749 0.0605671
107200000 26.8467 0.0764642
107210000 24.4424 0.00653612
107220000 23.2027 0.00308481
107230000 25.5429 0.0453444
107240000 25.5701 0.0350386
107250000 23.4515 2.25087e-06
107260000 25.3533 0.0146519
107270000 24.0901 0.0150346
107280000 18.8969 0
107290000 12.238 0
107300000 9.53651 0
107310000 6.74496 -0.071025
107320000 5.51179 -0.356303
107330000 6.62715 -0.0995666
107340000 5.27073 -0.235664
107350000 1.21228 -1.57842
107360000 -0.648893 -1.65763
107370000 -4.61743 -2.06458
107380000 -3.03465 -2.06026
107390000 -5.03675 -2.66124
107400000 -7.55072 -2.4295
107410000 -9.07787 -2.35934
107420000 -15.6615 -2.27605
107430000 -10.9203 -1.96071
